P,num_trading_agents_BM
0.02,4
P,num_trading_agents_BM
0.01,2
0.03,8
0.04,10
0.06,15
0.05,13
0.07,17
0.08,20
0.09,20
0.1,24
0.11,22
0.13,26
0.12,24
0.14,29
0.15,30
0.16,30
0.17,34
0.18,38
0.19,36
0.2,36
0.21,38
0.22,36
0.23,45
0.24,44
0.25,48
0.26,48
0.27,38
0.28,46
0.3,50
0.29,45
0.31,49
0.33,52
0.32,50
0.34,56
0.35,56
0.37,53
0.36,51
0.38,55
0.39,52
0.4,58
0.41,56
0.42,57
0.43,54
0.44,57
0.45,60
0.46,49
0.47,59
0.48,52
0.49,57
0.5,50
0.51,54
0.52,56
0.53,59
0.54,59
0.55,56
0.56,56
0.57,49
0.58,42
0.59,45
0.6,49
0.62,46
0.61,47
0.63,44
0.64,48
0.65,42
0.66,49
0.67,49
0.68,46
0.69,49
0.7,43
0.71,44
0.72,43
0.73,43
0.74,45
0.75,44
0.76,41
0.77,42
0.78,37
0.79,32
0.8,31
0.81,31
0.82,30
0.83,31
0.84,27
0.85,27
0.86,23
0.87,28
0.89,24
0.88,25
0.9,19
0.93,13
0.92,15
0.91,17
0.94,11
0.96,6
0.97,7
0.95,7
0.98,4
0.99,3
0.01,2
0.02,4
0.03,7
0.04,10
0.05,12
0.06,13
0.07,17
0.08,20
0.09,24
0.1,24
0.11,22
0.12,25
0.13,24
0.14,28
0.15,27
0.16,31
0.17,32
0.18,34
0.19,36
0.2,38
0.21,38
0.22,39
0.23,45
0.24,40
0.25,44
0.26,43
0.27,45
0.28,47
0.29,46
0.3,49
0.31,50
0.32,53
0.33,51
0.34,49
0.35,54
0.36,48
0.37,56
0.38,56
0.39,61
0.4,57
0.41,58
0.42,52
0.43,56
0.45,57
0.44,54
0.46,51
0.47,56
0.48,56
0.49,58
0.5,57
0.51,54
0.52,55
0.53,51
0.54,58
0.55,55
0.56,48
0.57,48
0.58,46
0.59,49
0.6,48
0.61,48
0.62,46
0.63,46
0.64,49
0.65,47
0.66,49
0.67,47
0.68,41
0.69,49
0.7,51
0.72,47
0.71,49
0.73,44
0.74,38
0.75,42
0.76,41
0.77,41
0.78,43
0.79,34
0.8,32
0.81,32
0.82,27
0.83,28
0.84,28
0.85,26
0.86,24
0.88,23
0.87,26
0.89,24
0.9,20
0.93,11
0.92,16
0.91,19
0.94,9
0.96,8
0.97,6
0.95,9
0.98,6
0.99,4
0.01,3
0.02,5
0.03,7
0.04,9
0.05,12
0.06,14
0.07,17
0.08,19
0.09,21
0.1,23
0.11,23
0.12,26
0.13,24
0.14,28
0.15,31
0.16,30
0.17,35
0.18,34
0.19,34
0.2,39
0.21,36
0.22,38
0.23,44
0.24,43
