P,num_trading_agents_CPP
0.0,0
0.03,14
0.01,3
0.02,9
0.04,21
0.06,33
0.07,38
0.05,25
0.08,41
0.09,44
0.11,46
0.1,45
0.12,46
0.14,50
0.13,46
0.15,50
0.16,50
0.17,58
0.18,70
0.2,68
0.19,67
0.21,68
0.22,70
0.23,73
0.25,79
0.24,77
0.26,79
0.3,82
0.29,78
0.27,73
0.28,77
0.31,84
0.32,78
0.33,80
0.34,83
0.35,85
0.36,84
0.37,87
0.38,82
0.39,87
0.4,87
0.41,86
0.42,80
0.43,88
0.44,78
0.45,90
0.46,82
0.47,85
0.48,85
0.49,93
0.5,95
0.51,95
0.52,93
0.53,93
0.54,93
0.55,87
0.57,84
0.56,83
0.58,82
0.6,81
0.59,85
0.61,73
0.62,73
0.63,78
0.64,78
0.65,77
0.66,82
0.67,82
0.68,82
0.69,82
0.7,82
0.71,82
0.72,82
0.73,82
0.74,84
0.75,84
0.76,78
0.77,78
0.78,77
0.79,65
0.81,59
0.8,59
0.82,86
0.83,86
0.85,72
0.84,72
0.86,50
0.87,76
0.89,76
0.88,76
0.9,76
0.91,76
0.93,37
0.94,39
0.92,76
0.96,33
0.95,29
0.97,21
0.98,21
1.0,96
0.99,26
0.0,0
0.03,14
0.01,3
0.02,9
0.04,21
0.06,33
0.05,25
0.07,38
0.08,41
0.09,44
0.11,46
0.1,45
0.12,46
0.14,50
0.13,46
0.15,50
0.16,50
0.17,58
0.18,70
0.2,68
0.19,67
0.21,68
0.22,70
0.23,73
0.24,77
0.25,79
0.26,79
0.3,82
0.29,78
0.27,73
0.28,77
0.31,84
0.32,78
0.34,83
0.33,80
0.35,85
0.36,84
0.37,87
0.38,82
0.39,87
0.4,87
0.41,86
0.42,80
0.43,88
0.44,78
0.45,90
0.46,82
0.47,85
0.48,85
0.49,93
0.5,95
0.51,95
0.52,93
0.53,93
0.54,93
0.55,87
0.57,84
0.56,83
0.58,82
0.6,81
0.59,85
0.61,73
0.62,73
0.63,78
0.64,78
0.65,77
0.66,82
0.67,82
0.68,82
0.69,82
0.7,82
0.71,82
0.73,82
0.72,82
0.74,84
0.75,84
0.76,78
0.77,78
0.78,77
0.79,65
0.8,59
0.81,59
0.82,86
0.83,86
0.85,72
0.84,72
0.86,50
0.87,76
0.89,76
0.88,76
0.9,76
0.91,76
0.93,37
0.92,76
0.94,39
0.96,33
0.95,29
0.97,21
0.98,21
1.0,96
0.99,26
