P,num_trading_agents_SM_proportional
0.0,0
0.01,55
0.03,52
0.02,51
0.04,51
0.05,49
0.06,47
0.07,47
0.08,48
0.09,48
0.11,48
0.1,49
0.12,48
0.13,46
0.14,45
0.15,43
0.16,41
0.17,42
0.18,42
0.19,42
0.2,42
0.21,39
0.22,38
0.23,36
0.24,36
0.25,36
0.26,37
0.27,33
0.28,31
0.29,31
0.3,31
0.31,28
0.32,28
0.33,24
0.34,24
0.35,18
0.36,18
0.37,18
0.38,16
0.39,16
0.4,16
0.41,14
0.42,10
0.43,10
0.44,10
0.45,10
0.46,6
0.48,0
0.47,2
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.75,0
0.74,0
0.76,0
0.77,0
0.79,0
0.78,0
0.8,0
0.81,0
0.83,0
0.82,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1.0,0
