P,mean_price,min_price,max_price,25th_percentile_price,75th_percentile_price
0.0,nan,nan,nan,nan,nan
0.01,28.284241134588246,21.915082771126016,29.99820474805375,27.944942422897768,29.226892295874137
0.03,27.447452505818564,21.44442336118182,29.42498946220978,26.399941315115466,28.559912925257343
0.02,27.807682659382102,21.67975306615392,29.711597105131766,26.728041095735172,28.890349921022395
0.04,27.08802394057298,21.209093656209717,29.138381819287787,25.88601242076068,28.24960418264702
0.05,26.738415992026127,20.973763951237615,28.60043650634372,25.377436792751737,27.90712983874301
0.06,26.39756723259734,20.73843424626552,28.294597442136002,24.905987032437487,27.581915754937423
0.07,26.053836324638183,20.503104541293425,27.988758377928285,24.654842556225496,27.25526649563082
0.08,25.778499455346896,20.267774836321323,27.788058768680195,24.403698080013513,26.91557008515488
0.09,25.44400890443019,20.03244513134922,27.490794631353594,24.152553603801522,26.62653487530804
0.11,24.79825006919601,19.561785721405016,26.7654021210974,23.649225992036765,26.05798249753049
0.1,25.16767619661913,19.79711542637712,27.193530494027,23.901409127589538,26.337499665461205
0.12,24.475344284161643,19.32645601643292,26.459563056889678,23.397811808127628,25.772917247346825
0.13,24.33989450607788,20.961135802052205,26.153723992681957,23.144819549483394,25.505309958405633
0.14,24.120768901505752,21.098904032594113,25.84788492847424,23.09513521786826,25.245642588790787
0.15,23.795375104966944,20.66439363774074,25.542045864266516,22.645686746529613,24.993915138502288
0.16,23.408017509095302,20.22988324288736,25.236206800058795,22.21899717711814,24.632656246612157
0.17,23.197458592894574,20.21437398853097,24.93036773585108,22.464533068592672,24.224770397165408
0.18,22.882448018257104,19.860305206655234,24.62452867164336,22.085532792164187,23.93081486257719
0.19,22.56743744361964,19.506236424779487,24.318689607435637,21.706532515735702,23.642407908616747
0.2,22.252426868982173,19.152167642903745,24.012850543227913,21.369153656748857,23.358512702331776
0.21,22.02968665125293,19.011117049061916,23.707011479020196,21.145391484447327,23.125333680935064
0.22,21.815264149157265,19.39333096613906,23.40117241481248,20.780935209246394,22.86907714729913
0.23,21.429905467260802,19.055585499280397,23.038753339202874,20.360914755480696,22.479209666504225
0.24,21.123842198647093,18.717840032421734,22.74535554090695,20.008301068783027,22.18892633549972
0.25,21.040269066696563,19.356703824226994,22.45195774261102,20.097091661546607,22.032662179454277
0.26,20.811478301987542,19.09850691950654,22.158559944315098,19.983918012517815,21.739944063666208
0.27,20.608183110042063,18.840310014786084,21.86516214601917,19.817931773329324,21.45560095067985
0.28,20.28085079319363,18.475908844627472,21.571764347723246,19.508545911309024,21.152574298506302
0.29,19.991671262969845,18.091737783857653,21.278366549427325,19.245654734624626,20.854942588085287
0.3,19.70249173274607,17.707566723087833,20.984968751131394,18.98276355794022,20.564349022954996
0.31,19.589426131957016,17.807522395904282,20.69157095283547,18.780446608835355,20.285745856118968
0.32,19.30826874822223,17.54932549118383,20.398173154539545,18.516532164020276,19.992035580421774
0.33,19.10563606578508,17.29112858646338,20.104775356243618,18.30066924866845,19.704152713961292
0.34,18.823750944193367,17.03293168174293,19.811377557947694,18.04645496806444,19.407257352780807
0.35,18.855040673904327,17.62279722228989,19.51797975965177,18.957206452836736,19.11161941929022
0.36,18.569386524230598,17.3716527460779,19.224581961355838,18.653443132012725,18.822584209443377
0.37,18.28373237455687,17.120508269865915,18.931184163059918,18.34209226327193,18.533548999596537
0.38,18.11246185345438,16.869363793653932,18.637786364763993,18.071516602631934,18.334185040021904
0.39,17.82300562866327,16.618219317441948,18.344388566468066,17.775654356903942,18.046664159866207
0.4,17.57104655422291,16.367074841229964,18.350967970978136,17.47979211117594,17.75914327971051
0.41,17.195796158917194,16.291351014666105,17.75426511759173,17.154849506401547,17.35823145283443
0.42,17.087550568231148,16.785337919567965,17.64471160821097,16.922310853103937,17.08837295036234
0.43,16.794608765028016,16.473987050827176,17.372863593953348,16.63161148171354,16.799337740515504
0.44,16.699966795398467,16.393468406350486,17.10101557969573,16.51030253066866,16.921171353675128
0.45,16.41638774058329,16.091692854570464,16.82916756543811,16.22126732082182,16.656227508526882
0.46,16.10560219162321,15.932232110974983,16.39128366337863,15.9627614557455,16.192287231947322
0.48,nan,nan,nan,nan,nan
0.47,15.931433185069627,15.931433185069627,15.931433185069627,15.931433185069627,15.931433185069627
0.49,nan,nan,nan,nan,nan
0.5,nan,nan,nan,nan,nan
0.51,nan,nan,nan,nan,nan
0.52,nan,nan,nan,nan,nan
0.53,nan,nan,nan,nan,nan
0.54,nan,nan,nan,nan,nan
0.55,nan,nan,nan,nan,nan
0.56,nan,nan,nan,nan,nan
0.57,nan,nan,nan,nan,nan
0.58,nan,nan,nan,nan,nan
0.59,nan,nan,nan,nan,nan
0.6,nan,nan,nan,nan,nan
0.61,nan,nan,nan,nan,nan
0.62,nan,nan,nan,nan,nan
0.63,nan,nan,nan,nan,nan
0.64,nan,nan,nan,nan,nan
0.65,nan,nan,nan,nan,nan
0.66,nan,nan,nan,nan,nan
0.67,nan,nan,nan,nan,nan
0.68,nan,nan,nan,nan,nan
0.69,nan,nan,nan,nan,nan
0.7,nan,nan,nan,nan,nan
0.71,nan,nan,nan,nan,nan
0.72,nan,nan,nan,nan,nan
0.73,nan,nan,nan,nan,nan
0.75,nan,nan,nan,nan,nan
0.74,nan,nan,nan,nan,nan
0.76,nan,nan,nan,nan,nan
0.77,nan,nan,nan,nan,nan
0.79,nan,nan,nan,nan,nan
0.78,nan,nan,nan,nan,nan
0.8,nan,nan,nan,nan,nan
0.81,nan,nan,nan,nan,nan
