P,TV0
0.0,0.0
0.03,375.645245737757
0.01,115.17975839228572
0.02,198.9606707749253
0.04,587.546016210023
0.06,826.7833556930746
0.07,905.5923393410367
0.05,665.5748306967515
0.08,1142.3049526803945
0.09,1299.976004662269
0.11,1753.885225912546
0.1,1464.9425024012896
0.12,1753.885225912546
0.14,2166.9225355009876
0.13,1916.1817618578443
0.15,2370.742537090021
0.16,2370.742537090021
0.17,2780.1337429509094
0.18,2931.750240279135
0.2,3277.8851711722004
0.19,3136.400004241288
0.21,3345.934148911904
0.22,3460.2629851612014
0.23,3686.4860291426703
0.25,4030.4574929286205
0.24,3863.651769224507
0.26,4030.4574929286205
0.3,4789.737198357998
0.29,4673.378993698423
0.27,4213.568382724572
0.28,4509.705944948781
0.31,5042.997428735624
0.32,5097.9136290218885
0.33,5348.033787129343
0.34,5427.179638280428
0.35,5505.010897270573
0.36,5759.879665830309
0.37,5888.65544485224
0.38,6049.687784913487
0.39,6190.570027702386
0.4,6190.570027702386
0.41,6478.922989708329
0.42,6629.063348693784
0.43,6848.015971995507
0.44,6952.372142430641
0.45,7126.67189445755
0.46,7316.6428571323395
0.47,7493.7372887035235
0.48,7493.7372887035235
0.49,7835.8042562182345
0.5,8124.704898274949
0.51,8124.704898274949
0.52,8396.785454655317
0.53,8670.608769927565
0.54,8670.608769927565
0.55,9036.213148301413
0.57,9244.802092626614
0.56,9097.972738503413
0.58,9317.27838138495
0.6,9772.040380822995
0.59,9462.603191921482
0.61,9852.206955097017
0.62,9852.206955097017
0.63,10128.246942831302
0.64,10257.14111602108
0.65,10430.68941465817
0.66,10693.361704076877
0.67,10759.799787479482
0.68,10948.208650107423
0.69,11108.825750901651
0.7,11108.825750901651
0.71,11264.590101524653
0.72,11542.700779800307
0.73,11542.700779800307
0.74,11955.714484980486
0.75,11955.714484980486
0.76,12215.683612296794
0.77,12345.811577168926
0.78,12539.577569469013
0.79,12779.949712507429
0.81,13093.376073496476
0.8,12985.372433334473
0.82,13275.37378758221
0.83,13275.37378758221
0.85,13716.125818571556
0.84,13639.159628469852
0.86,13891.52192189289
0.87,14004.90396936909
0.89,14379.260332892136
0.88,14187.381648718141
0.9,14480.92745836638
0.91,14596.184339332936
0.93,14988.150834972359
0.94,15193.315243590965
0.92,14779.500985811232
0.96,15526.92938758036
0.95,15264.516423578305
0.97,15613.826222640402
0.98,15613.826222640402
1.0,16173.919836790805
0.99,15994.287136470204
0.0,0.0
0.03,375.645245737757
0.01,115.17975839228572
0.02,198.9606707749253
0.04,587.546016210023
0.06,826.7833556930746
0.05,665.5748306967515
0.07,905.5923393410367
0.08,1142.3049526803945
0.09,1299.976004662269
0.11,1753.885225912546
0.1,1464.9425024012896
0.12,1753.885225912546
0.14,2166.9225355009876
0.13,1916.1817618578443
0.15,2370.742537090021
0.16,2370.742537090021
0.17,2780.1337429509094
0.18,2931.750240279135
0.2,3277.8851711722004
0.19,3136.400004241288
0.21,3345.934148911904
0.22,3460.2629851612014
0.23,3686.4860291426703
0.24,3863.651769224507
0.25,4030.4574929286205
0.26,4030.4574929286205
0.3,4789.737198357998
0.29,4673.378993698423
0.27,4213.568382724572
0.28,4509.705944948781
0.31,5042.997428735624
0.32,5097.9136290218885
0.34,5427.179638280428
0.33,5348.033787129343
0.35,5505.010897270573
0.36,5759.879665830309
0.37,5888.65544485224
0.38,6049.687784913487
0.39,6190.570027702386
0.4,6190.570027702386
0.41,6478.922989708329
0.42,6629.063348693784
0.43,6848.015971995507
0.44,6952.372142430641
0.45,7126.67189445755
0.46,7316.6428571323395
0.47,7493.7372887035235
0.48,7493.7372887035235
0.49,7835.8042562182345
0.5,8124.704898274949
0.51,8124.704898274949
0.52,8396.785454655317
0.53,8670.608769927565
0.54,8670.608769927565
0.55,9036.213148301413
0.57,9244.802092626614
0.56,9097.972738503413
0.58,9317.27838138495
0.6,9772.040380822995
0.59,9462.603191921482
0.61,9852.206955097017
0.62,9852.206955097017
0.63,10128.246942831302
0.64,10257.14111602108
0.65,10430.68941465817
0.66,10693.361704076877
0.67,10759.799787479482
0.68,10948.208650107423
0.69,11108.825750901651
0.7,11108.825750901651
0.71,11264.590101524653
0.73,11542.700779800307
0.72,11542.700779800307
0.74,11955.714484980486
0.75,11955.714484980486
0.76,12215.683612296794
0.77,12345.811577168926
0.78,12539.577569469013
0.79,12779.949712507429
0.8,12985.372433334473
0.81,13093.376073496476
0.82,13275.37378758221
0.83,13275.37378758221
0.85,13716.125818571556
0.84,13639.159628469852
0.86,13891.52192189289
0.87,14004.90396936909
0.89,14379.260332892136
0.88,14187.381648718141
0.9,14480.92745836638
0.91,14596.184339332936
0.93,14988.150834972359
0.92,14779.500985811232
0.94,15193.315243590965
0.96,15526.92938758036
0.95,15264.516423578305
0.97,15613.826222640402
0.98,15613.826222640402
1.0,16173.919836790805
0.99,15994.287136470204
