P,TV0
0.0,0.0
0.01,321.8610047521371
0.02,640.4872255369158
0.03,955.8786623543365
0.04,1268.0353152043992
0.05,1576.9571840871033
0.06,1882.6442690024494
0.07,2185.096569950438
0.08,2484.314086931067
0.09,2780.2968199443385
0.11,3362.557934068808
0.1,3073.044768990253
0.12,3648.836315180006
0.13,3931.879912323844
0.14,4211.688725500326
0.15,4488.262754709448
0.16,4761.601999951213
0.17,5031.70646122562
0.18,5298.576138532666
0.19,5562.211031872358
0.2,5822.61114124469
0.21,6079.776466649664
0.22,6333.707008087279
0.23,6584.402765557536
0.24,6831.863739060436
0.25,7076.089928595978
0.26,7317.081334164161
0.27,7554.837955764985
0.28,7789.359793398452
0.29,8020.6468470645605
0.3,8248.699116763308
0.31,8473.516602494703
0.32,8695.099304258738
0.33,8913.447222055413
0.34,9128.56035588473
0.35,9340.438705746688
0.36,9549.08227164129
0.37,9754.491053568532
0.38,9956.665051528418
0.39,10155.604265520948
0.4,10351.308695546117
0.41,10543.778341603926
0.42,10733.013203694376
0.43,10919.01328181747
0.44,11101.778575973209
0.45,11281.309086161586
0.46,11457.604812382606
0.47,11630.665754636266
0.48,11800.491912922571
0.49,11967.083287241516
0.5,12130.439877593104
0.51,12290.561683977332
0.52,12447.448706394203
0.53,12601.100944843716
0.54,12751.518399325869
0.55,12898.701069840667
0.56,13042.648956388106
0.57,13183.362058968181
0.58,13320.840377580906
0.59,13455.08391222627
0.6,13586.092662904275
0.61,13713.866629614922
0.62,13838.405812358209
0.63,13959.710211134143
0.64,14077.779825942716
0.65,14192.614656783931
0.66,14304.214703657788
0.67,14412.579966564288
0.68,14517.710445503428
0.69,14619.606140475209
0.7,14718.26705147963
0.71,14813.693178516698
0.72,14905.884521586402
0.73,14994.841080688753
0.74,15080.562855823746
0.75,15163.049846991378
0.76,15242.302054191654
0.77,15318.319477424573
0.78,15391.102116690132
0.79,15460.649971988329
0.8,15526.96304331917
0.81,15590.041330682658
0.82,15649.88483407878
0.83,15706.493553507553
0.84,15759.86748896896
0.85,15810.00664046301
0.86,15856.911007989705
0.87,15900.58059154904
0.88,15941.015391141018
0.89,15978.215406765636
0.9,16012.1806384229
0.91,16042.9110861128
0.92,16070.406749835345
0.93,16094.667629590529
0.94,16115.693725378358
0.95,16133.485037198827
0.96,16148.041565051937
0.97,16159.363308937693
0.98,16167.45026885609
0.99,16172.302444807126
1.0,16173.919836790805
