P,lagrange_multiplier_theta_mean,lagrange_multiplier_theta_min,lagrange_multiplier_theta_max,lagrange_multiplier_theta_25th_percentile,lagrange_multiplier_theta_75th_percentile
0.0,39.792865772468794,38.79455005662082,40.76390862370787,39.549350456439015,40.07902331594346
0.01,42.93033087876938,27.52008248685801,47.4611923008789,41.789935826760676,45.71421672422854
0.02,42.538624209071514,27.519717928301155,54.29812855597723,34.33972668021605,51.24666961223464
0.03,40.346034118195284,24.314008146097645,56.2036358823061,32.45593626373158,53.04196751506044
0.04,38.02479674554925,24.31392819497311,54.3876376903081,32.455935368551124,43.132127180465325
0.05,37.39172805799275,24.3142292046033,54.20816521062702,29.72276301300112,43.03066942119697
0.07,35.976913180667154,15.033750246085834,54.32711572811451,29.722754445718373,40.80216023530538
0.06,37.08609329979482,15.035806499966391,55.380290359999066,29.722763132217764,42.1808315416779
0.08,33.08222079411885,15.035267133321224,52.81078208460936,28.159069453651558,34.52839273175494
0.09,30.675367123728638,15.03581484055472,42.89181737351528,28.157877204783183,33.78455871622541
0.1,30.058283938361118,0.004931753418912166,42.916932829038565,27.488465621117108,33.79039750880657
0.11,29.662263462685257,0.0034975207333225455,42.79528297660024,27.488149689298805,33.782506070374744
0.12,29.19849834786571,0.004244525278050304,42.11518512444954,27.01631350894205,33.779721695509224
0.14,28.281542214179073,-0.002981034836885499,40.96489428327526,25.604335304339287,30.77259718829236
0.15,27.6107407541899,-0.005114630932784081,40.890129589847945,23.905825190803554,30.010059839169905
0.13,28.547282823951786,9.867581660927272e-05,41.0662608270808,27.015487263553982,30.778873330450413
0.16,27.109323167047798,-0.005520169110322826,40.83943329100079,23.709497180290303,29.795675803031465
0.17,26.578296921157992,-0.005804889318724804,40.75339270029445,23.70970856318327,29.386338183526654
0.18,26.19241173170151,-0.005099693337903943,40.690624199237135,23.100990560382943,29.386185608588356
0.19,25.936466898953896,-0.0066340820504890985,40.63820086981069,23.053511982132015,29.386177733726196
0.2,25.455663423761667,0.0005828550762849716,40.590147060939756,22.42176655858668,28.215866615729354
0.21,25.111499647239462,0.000540306988206396,40.52593156570535,22.422020345887752,28.215869172947496
0.22,24.820703837111967,-0.00037261654302511715,40.534965124472805,22.42179257965797,28.215867304408235
0.23,24.42339341956802,-3.908088078219407e-05,40.641470596057594,22.292736620585345,27.508991864223724
0.24,24.15080403054149,-0.004311324964433538,40.48889359238827,22.305785854449336,27.510266388558666
0.25,23.690736238086284,-0.004901402994981652,40.33084457443879,22.3268355773192,27.404327575516213
0.26,23.132863917125604,-0.0028036937427060593,40.314497616740184,21.023777242475695,27.403784426158083
0.27,22.80160294414679,-0.0036083100672215096,40.30036251759006,21.026276672595735,27.40753965246247
0.28,22.56168198590066,-0.007057812025799137,40.29416757302096,21.025799224850857,27.403847409039848
0.29,22.089608260231863,-0.005914162898644548,40.25482563060264,19.17907587827165,26.573957147441288
0.3,21.75835927273057,-0.02241373962592874,39.98106264472558,19.176595048680337,26.574596943064826
0.31,21.488995687687556,-0.023642157147691023,39.97951942069149,19.176450766508413,25.289460058401314
0.32,21.1946230790972,-0.009413721975114697,39.964150161015596,18.579481813036644,25.2864813841681
0.33,20.6314728707056,-0.006246671576484175,40.063775199287306,18.57987660224884,22.80124111276179
0.34,20.342305768456676,-0.0065272068115938,40.052642500062234,18.57985762214865,22.801278873524332
0.35,20.047596221120774,-0.004979310429263251,40.0817134904717,17.133059680804745,22.801344978991295
0.36,19.945751819244926,-0.000381007264618205,39.98014014363098,17.13351280423499,22.80010672934718
0.37,19.32370207542341,-0.00220527774905932,39.90434067676264,16.828248493401315,22.670237612488783
0.38,18.952370588898106,-0.004110156533812415,40.07946338936414,16.82818996440465,22.62748818336083
0.39,18.72943415173529,-0.00585886446862105,40.06843082493897,15.429020097047134,22.62773366716472
0.4,18.46890888966743,0.00031197967978258134,39.94217948034935,15.42973253890552,22.626443950014703
0.42,17.630605282992406,-0.0049875458599615285,39.86104211863364,15.429611550124731,21.986308287261046
0.41,18.106605489596287,0.000174877239476956,39.916188907605815,15.429743386425862,22.62642096667399
0.43,17.308503586717354,-0.0025253286827293664,39.848622263867654,14.83314601750834,21.522933333640648
0.44,17.02198849572864,-0.0018389369544706824,39.84695382508813,14.833106224500236,21.116326801414793
0.45,16.736104658657258,-0.004197290871168491,39.863056418597466,13.59425771699581,19.156930068526126
0.46,16.50791138895699,-0.0028648644890978403,39.852903896702145,12.224623764375893,19.15556260090949
0.47,16.231812756423388,-0.0011395700431755529,39.833027809244726,12.225791868734335,18.556495122409547
0.48,15.892528278980334,-0.001878851384367053,39.859449101197505,12.225720948976502,18.236384704391362
0.49,15.517758563566968,-0.0014605814393853223,39.86712666009423,12.22577562467189,16.55375306199054
0.51,14.910518377606266,-0.000985569429577282,39.84884776720263,12.225875099404846,16.278928518396373
0.5,15.172927696897446,-0.004289806422432818,39.884134874299406,12.227313717135065,16.27608103841562
0.52,14.556504942720562,-0.0001580253769812856,39.99903666927531,11.359849021911915,16.145139789069624
0.53,14.221255135186366,-0.0005062712233332434,39.832354209073046,11.357241161828139,16.141301918411646
0.55,13.632320898651685,-0.02649840169143225,39.34955642999386,11.356261142238472,15.425938650791249
0.56,13.42979179413777,-0.03596397556669473,39.35455210304197,11.356689263135742,15.157455981553124
0.57,13.03385866841892,-0.002004117995767274,39.37859855347077,11.357624241999485,15.145852036487327
0.54,14.129786457939476,-0.0022388256635661463,39.87377320864037,11.357677091688496,15.429467972299701
0.58,12.68286655546777,-0.0011940886233059445,39.3832413187837,10.115254189365336,15.152850835382571
0.59,12.39189142500934,-0.000836336710742458,39.38248959573111,10.11549714546811,14.787938334912521
0.6,12.143448299367703,-0.0017266078551383401,39.38375010643537,10.115525935605376,14.787781877798334
0.62,11.69761488017054,-0.0013810016117759005,39.38272353587981,10.115936035440388,14.787807628161032
0.61,11.88163787014188,-2.850187490288647e-05,39.38100796499468,10.115724371599224,14.788199900630033
0.63,11.317391766966773,-0.0004393780918388046,39.38132847759825,9.692292375519568,14.788219982445067
0.65,10.714005538163603,-0.002710669067475635,39.383462979304745,8.568807974056867,12.324174295320098
0.66,10.330242135085397,-0.004537608091714773,39.38455912541233,8.57036101393762,12.141391022763168
0.67,10.156788499159315,-0.005209256080124902,39.38890905323202,8.570278858096335,10.293047342655004
0.68,9.805387455773728,-0.0042532507409713816,39.390849318727405,8.570310699808697,10.223265626229145
0.64,11.01679762547075,-0.0002981157289436709,39.38116512636194,9.400178944183725,12.323498908075608
