P,num_trading_agents_SM
0.01,4
0.02,9
0.03,14
0.04,18
0.05,22
0.07,26
0.06,25
0.08,30
0.09,34
0.1,38
0.11,42
0.12,44
0.14,45
0.15,49
0.13,44
0.16,53
0.17,57
0.18,61
0.19,63
0.2,64
0.21,67
0.22,71
0.23,73
0.24,75
0.25,77
0.26,81
0.27,84
0.28,82
0.29,86
0.3,87
0.31,87
0.32,88
0.33,93
0.34,93
0.35,94
0.36,95
0.37,100
0.38,102
0.39,101
0.4,101
0.42,105
0.41,102
0.43,107
0.44,106
0.45,109
0.46,104
0.47,106
0.48,107
0.49,110
0.51,109
0.5,109
0.52,110
0.53,105
0.55,109
0.56,112
0.57,113
0.54,106
0.58,113
0.59,111
0.6,114
0.62,112
0.61,111
0.63,113
0.65,113
0.66,114
0.67,114
0.68,113
0.64,112
0.69,113
0.7,112
0.73,109
0.74,105
0.72,107
0.71,108
0.76,95
0.77,94
0.75,100
0.78,93
0.79,87
0.8,86
0.81,80
0.82,79
0.84,75
0.85,70
0.83,77
0.88,55
0.86,65
0.87,62
0.89,50
0.91,42
0.9,47
0.92,39
0.93,35
0.94,30
0.95,25
0.96,20
0.97,14
0.99,6
0.98,10
0.0,0
0.03,121
0.01,124
0.02,121
0.04,118
0.05,114
0.07,113
0.06,113
0.08,109
0.09,110
0.1,108
0.11,107
0.12,108
0.13,105
0.14,107
0.15,106
0.16,103
0.17,103
0.18,102
0.19,96
0.2,92
0.21,89
0.22,87
0.23,86
0.24,83
0.25,80
0.26,80
0.27,78
0.28,78
0.29,70
0.3,68
0.31,67
0.32,65
0.33,63
0.34,55
0.35,51
0.36,47
0.37,43
0.38,37
0.39,33
0.4,29
0.41,25
0.42,22
0.43,18
0.44,16
0.45,16
0.46,12
0.47,8
0.48,6
0.49,4
0.5,2
0.51,2
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.8,0
0.79,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.91,0
0.9,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1.0,0
